ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-03-01,967.7036171422727,-5369.113951844901,5414.902801049764,967.7036171422727,967.7036171422727,-1162.8242658880015,-1162.8242658880015,-1162.8242658880015,1436.8394301618393,1436.8394301618393,1436.8394301618393,-2599.663696049841,-2599.663696049841,-2599.663696049841,0.0,0.0,0.0,-195.12064874572877
2019-03-02,978.290579824062,-2948.7874784938595,7459.103890050283,978.290579824062,978.290579824062,851.7289472471729,851.7289472471729,851.7289472471729,3241.6924356000936,3241.6924356000936,3241.6924356000936,-2389.963488352921,-2389.963488352921,-2389.963488352921,0.0,0.0,0.0,1830.0195270712347
2019-03-03,988.8775425058512,-6738.440620316337,3982.4232391077253,988.8775425058512,988.8775425058512,-2573.0340732696354,-2573.0340732696354,-2573.0340732696354,-402.326940302209,-402.326940302209,-402.326940302209,-2170.707132967426,-2170.707132967426,-2170.707132967426,0.0,0.0,0.0,-1584.1565307637843
2019-03-04,999.4645051876405,-7353.171294170843,3554.78515979424,999.4645051876405,999.4645051876405,-3044.1806682974516,-3044.1806682974516,-3044.1806682974516,-1098.0114101342597,-1098.0114101342597,-1098.0114101342597,-1946.1692581631924,-1946.1692581631924,-1946.1692581631924,0.0,0.0,0.0,-2044.716163109811
2019-03-05,1010.0514678694299,-7613.7048742279685,3325.970674437141,1010.0514678694299,1010.0514678694299,-3177.5019419838363,-3177.5019419838363,-3177.5019419838363,-1457.0638652423836,-1457.0638652423836,-1457.0638652423836,-1720.4380767414525,-1720.4380767414525,-1720.4380767414525,0.0,0.0,0.0,-2167.4504741144065
2019-03-06,1020.6384305512191,-7455.745848489686,3648.754526994154,1020.6384305512191,1020.6384305512191,-2854.702664258943,-2854.702664258943,-2854.702664258943,-1357.378027539179,-1357.378027539179,-1357.378027539179,-1497.3246367197646,-1497.3246367197646,-1497.3246367197646,0.0,0.0,0.0,-1834.0642337077238
2019-03-07,1031.2253932330084,-5949.269581673018,4676.910500692823,1031.2253932330084,1031.2253932330084,-1644.0367627049561,-1644.0367627049561,-1644.0367627049561,-363.75162254361044,-363.75162254361044,-363.75162254361044,-1280.2851401613457,-1280.2851401613457,-1280.2851401613457,0.0,0.0,0.0,-612.8113694719477
2019-03-08,1041.8123559147975,-4151.348650580471,6931.733559919857,1041.8123559147975,1041.8123559147975,364.48157333399945,364.48157333399945,364.48157333399945,1436.8394301606609,1436.8394301606609,1436.8394301606609,-1072.3578568266614,-1072.3578568266614,-1072.3578568266614,0.0,0.0,0.0,1406.293929248797
2019-03-09,1052.399318596587,-1961.5493348333805,8927.473651413145,1052.399318596587,1052.399318596587,2365.576777856518,2365.576777856518,2365.576777856518,3241.6924355986366,3241.6924355986366,3241.6924355986366,-876.1156577421184,-876.1156577421184,-876.1156577421184,0.0,0.0,0.0,3417.976096453105
2019-03-10,1062.986281278376,-5143.991993653634,5483.274885525819,1062.986281278376,1062.986281278376,-1095.9616206298704,-1095.9616206298704,-1095.9616206298704,-402.3269402970509,-402.3269402970509,-402.3269402970509,-693.6346803328194,-693.6346803328194,-693.6346803328194,0.0,0.0,0.0,-32.97533935149431
2019-03-11,1073.5732439601654,-6213.038683841498,4659.248995047959,1073.5732439601654,1073.5732439601654,-1624.4905376133263,-1624.4905376133263,-1624.4905376133263,-1098.0114101344707,-1098.0114101344707,-1098.0114101344707,-526.4791274788561,-526.4791274788561,-526.4791274788561,0.0,0.0,0.0,-550.9172936531609
2019-03-12,1084.1602066419546,-5955.828342085987,4585.739666293542,1084.1602066419546,1084.1602066419546,-1832.7655782859185,-1832.7655782859185,-1832.7655782859185,-1457.063865245186,-1457.063865245186,-1457.063865245186,-375.7017130407328,-375.7017130407328,-375.7017130407328,0.0,0.0,0.0,-748.605371643964
