,ds,yhat,yhat_lower,yhat_upper,total_sales
0,2019-10-07,-3139.4943711555425,-9252.84218968757,2321.649386291764,3054.93
1,2019-10-08,-3556.6156117138835,-9161.19186293006,2502.9000808324427,2510.0
2,2019-10-09,-3300.3143032480493,-9353.977201395395,2202.005998868044,2376.66
3,2019-10-10,-2069.465024462016,-7751.712269703673,4005.762424279683,585.37
4,2019-10-11,20.389307271653536,-5712.737444850053,5643.765763114266,2889.93
5,2019-10-12,2096.840605018639,-3755.2211838082494,7537.099624390283,927.31
6,2019-10-13,-2070.5484256253694,-7734.646782689383,4094.658566973134,1746.43
7,2019-10-14,-2768.98958919118,-8669.425842959701,3224.0827764365267,2160.69
8,2019-10-15,-3285.3954199289137,-9416.243223721918,2500.8265205243006,2886.02
9,2019-10-16,-3106.10975044545,-8651.250711371542,2698.4179262501902,882.1
10,2019-10-17,-1926.577200431745,-7770.512168027579,4090.139789355173,2403.83
11,2019-10-18,140.2408916068713,-5781.547603258555,6132.218930594432,2583.2
12,2019-10-19,2223.5851594976675,-3724.707387456436,7794.659474059838,129.11
13,2019-10-20,-1906.321796382772,-7905.09534436309,3719.29417957192,1476.07
14,2019-10-21,-2537.046331689565,-8529.011120881487,3022.9645331651664,834.42
15,2019-10-22,-2956.8643112551563,-8838.620947145042,2662.660073130008,3906.59
16,2019-10-23,-2654.454717796417,-8154.819355137056,3240.827616452464,1481.33
17,2019-10-24,-1328.50181716856,-7405.986407342012,4254.3314986984215,4236.8
18,2019-10-25,903.9847522343364,-4485.68365554476,6701.15390154618,506.62
19,2019-10-26,3167.510321913935,-2577.8832298690336,8781.47712308973,1028.42
20,2019-10-27,-772.9808528124659,-6527.776323040456,4864.80347774871,1749.91
21,2019-10-28,-1210.7144395580897,-6961.961862274487,4683.187307703681,1922.59
22,2019-10-29,-1439.8311547281132,-6806.929254544339,4139.588582471895,3372.26
23,2019-10-30,-954.8967934877004,-6447.346346641478,5084.637509705888,1210.31
24,2019-10-31,539.6818500380158,-5214.148943805193,5903.838515676112,1075.79
25,2019-11-01,2921.520194825085,-3129.4751590047576,9198.994789104485,1170.18
26,2019-11-02,5310.271002262647,61.884838364724224,11748.104500169136,1436.13
27,2019-11-03,1466.7092354196504,-4949.118283331878,7428.126384993092,1064.17
28,2019-11-04,1094.2652316499089,-4731.997051757022,6723.013727606556,3133.06
29,2019-11-05,896.3982190381154,-4608.802254882864,6679.785452035974,3099.9
30,2019-11-06,1377.1777239401936,-4618.23165348847,7087.258570319472,1629.79
31,2019-11-07,2831.928731423249,-2854.4864330998253,8787.679814820614,1451.28
32,2019-11-08,5139.123560198527,-582.3261183479957,10277.586031821984,1345.39
33,2019-11-09,7420.391806428151,1636.784768040171,13101.990526534037,1663.16
34,2019-11-10,3439.565947040097,-2362.082781143878,9274.42890895761,1174.21
35,2019-11-11,2904.141870263384,-2804.587678047777,8443.837124946185,2240.48
36,2019-11-12,2522.548048814712,-3430.0248170168475,8563.334330296362,2860.44
37,2019-11-13,2804.593518974856,-3061.8226121316843,8656.914152977002,1964.07
38,2019-11-14,4051.954112516791,-1767.0041396177587,9737.912908884442,608.96
39,2019-11-15,6149.884044363211,607.3902867486895,12240.74585859198,757.19
40,2019-11-16,8227.029324120558,2526.683415404785,14016.167215089476,3572.16
41,2019-11-17,4054.26599878344,-1783.2181589435486,10022.88136645302,2183.74
42,2019-11-18,3345.948379790644,-2407.393568777423,9331.83903163783,2795.12
43,2019-11-19,2816.967053790521,-3051.0248363830538,8351.215963718623,2896.92
44,2019-11-20,2982.992964833468,-2969.3988400873795,8462.757308318549,2468.63
45,2019-11-21,4150.773005729527,-1408.2703808417812,9893.628179089315,625.03
46,2019-11-22,6209.669906418421,535.8749113115058,11637.892714079248,1891.96
47,2019-11-23,8291.328102064945,3039.989263307178,13884.30057428873,1328.44
48,2019-11-24,4168.393179867644,-1962.551724464907,9663.270582190857,2383.39
49,2019-11-25,3555.673890780902,-2274.935024473804,9533.88850765758,2484.87
50,2019-11-26,3167.149485056638,-2643.888513913771,9478.40754181149,2897.14
51,2019-11-27,3516.200652992192,-2230.777646994334,9112.942636043112,1933.81
52,2019-11-28,4905.930473161619,-867.3465557919124,10772.435919660984,589.59
53,2019-11-29,7220.768053771653,1533.1899206294345,13085.085111896584,2930.99
54,2019-11-30,9586.235375656615,3703.317402914314,14720.46424783958,1747.14
55,2019-12-01,5767.802712431657,45.47980145480795,11647.514378714724,1756.85
56,2019-12-02,5472.218395232573,-586.4081884783299,11024.995842564162,1184.38
57,2019-12-03,5404.711547432386,-376.6738785362757,11080.091384770496,1636.84
58,2019-12-04,6069.4411305330495,-86.68061185770631,11872.685476788967,1785.72
59,2019-12-05,7771.532392493838,2377.5098292107123,13185.665352592136,1514.34
60,2019-12-06,10374.485729622676,4416.906093249075,16053.68371078282,1214.51
61,2019-12-07,12994.635027574544,7901.901730465553,18998.594538909667,1833.65
62,2019-12-08,9388.771105055954,3652.744495881615,15281.78134572556,1931.13
63,2019-12-09,9255.710865873843,3180.450103610575,14662.650157328915,1190.55
64,2019-12-10,9293.723966203032,3316.0343943699468,15409.226181225627,3088.51
65,2019-12-11,10001.184185312515,4313.7983321884685,15555.688902198786,741.14
66,2019-12-12,11667.300661124347,6221.945325943199,17257.03344974371,1361.29
67,2019-12-13,14164.110594197307,8333.581005064174,19801.081831014835,2381.94
68,2019-12-14,16606.603308115064,11217.185644942889,22212.60495945027,505.61
69,2019-12-15,12751.891174980734,7188.493299650187,18886.60257034544,1174.71
70,2019-12-16,12300.804332735082,6623.857283669505,17600.720214355464,1980.71
71,2019-12-17,11955.300250740294,6338.976015724282,17588.396752169177,3976.91
72,2019-12-18,12219.055399650531,6409.859535611427,17865.65232369517,1631.39
73,2019-12-19,13388.095381122455,7647.459538324622,19286.774197378632,1702.58
74,2019-12-20,15342.647413480285,9919.733646008708,21307.203110532344,909.92
75,2019-12-21,17207.08839363031,11429.296675521213,22674.41911641238,1962.37
76,2019-12-22,12748.90832979166,6905.455575098118,18302.110642655985,1944.37
